INFO 2025-03-16 20:12:34,226 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-16 20:12:34,226 autoreload Waiting for apps ready_event.
DEBUG 2025-03-16 20:12:34,353 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-16 20:12:34,392 autoreload Watching dir C:\Users\galus\PycharmProjects\.venv\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-03-16 20:12:34,392 autoreload Watching dir C:\Users\galus\PycharmProjects\.venv\lib\site-packages\drf_yasg\templates with glob **/*.
DEBUG 2025-03-16 20:12:34,392 autoreload Watching dir C:\Users\galus\PycharmProjects\.venv\lib\site-packages\django_filters\templates with glob **/*.
DEBUG 2025-03-16 20:12:34,392 autoreload Watching dir C:\Users\galus\PycharmProjects\pythonProjectComixSite\drf\locale with glob **/*.mo.
DEBUG 2025-03-16 20:12:34,392 autoreload Watching dir C:\Users\galus\PycharmProjects\pythonProjectComixSite\drf\comix\locale with glob **/*.mo.
DEBUG 2025-03-16 20:12:34,394 autoreload Watching dir C:\Users\galus\PycharmProjects\.venv\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-03-16 20:12:34,394 autoreload Watching dir C:\Users\galus\PycharmProjects\.venv\lib\site-packages\drf_yasg\locale with glob **/*.mo.
DEBUG 2025-03-16 20:12:34,394 autoreload Watching dir C:\Users\galus\PycharmProjects\.venv\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-03-16 20:12:34,394 autoreload Watching dir C:\Users\galus\PycharmProjects\.venv\lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2025-03-16 20:12:34,394 autoreload Watching dir C:\Users\galus\PycharmProjects\.venv\lib\site-packages\rest_framework_simplejwt\token_blacklist\locale with glob **/*.mo.
DEBUG 2025-03-16 20:12:34,394 autoreload Watching dir C:\Users\galus\PycharmProjects\.venv\lib\site-packages\django_filters\locale with glob **/*.mo.
DEBUG 2025-03-16 20:12:34,394 autoreload Watching dir C:\Users\galus\PycharmProjects\pythonProjectComixSite\drf\drf\locale with glob **/*.mo.
